Data Source,World Development Indicators,,,,,,,,,,,,
,,,,,,,,,,,,,
Last Updated Date,1/2/2017,,,,,,,,,,,,
,,,,,,,,,,,,,
Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Tajikistan,TJK,0.298690024,3.772406207,7.197619518,8.78,10.07,11.55,13.03,14.51,16,17.49,18.98,
Turkmenistan,TKM,0.997256559,1.319573118,1.406360688,1.75,1.95,3,5,7.1958,9.6,12.2,14.99677482,
Latin America & the Caribbean (IDA & IBRD countries),TLA,16.69721392,20.89217131,23.89436944,26.66732789,31.27015221,34.98117776,39.7058715,43.4061166,46.43565191,48.93643043,54.70371768,
Middle East & North Africa (IDA & IBRD countries),TMN,8.449838595,9.810043371,11.73540205,14.85277889,17.4928668,20.41158945,22.53908189,25.56783204,28.75580733,33.92765813,37.95898158,
Timor-Leste,TLS,0.099031768,0.116628277,0.140958764,0.163876816,0.18525151,0.21,0.9,2.3,8,11.3,13.4,
Tonga,TON,4.907782762,5.853944095,7.179865329,8.110769944,10,16,25,33,35,40,44.99951883,
South Asia (IDA & IBRD),TSA,2.546688328,2.983348307,3.973400118,4.416823408,5.157112647,7.206545642,9.393092787,11.5120098,13.74662379,19.26777723,23.62794112,
Sub-Saharan Africa (IDA & IBRD countries),TSS,2.044469415,2.925828755,3.670158994,5.616740719,6.922015421,9.775497398,12.10872903,14.61288055,17.1216113,19.57576513,22.38805971,
Trinidad and Tobago,TTO,28.97671243,30.00374858,32.3,34.8,44.3,48.5,55.2,59.5162,63.8,65.1,69.19847061,
Tunisia,TUN,9.655086542,12.98640865,17.1,27.53,34.07,36.8,39.1,41.4416,43.8,46.16,48.51983599,
Turkey,TUR,15.46,18.24,28.63,34.37,36.4,39.82,43.06571043,45.13,46.25,51.04,53.74497914,
Tuvalu,TUV,,,10,15,20,25,30,35,37,39.2,42.7,
Tanzania,TZA,1.1,1.3,1.6,1.9,2.4,2.9,3.2,3.95,4.4,4.86,5.355144064,
Uganda,UGA,1.742205503,2.529363038,3.671965351,7.9,9.78,12.5,13.01354333,14.6896,16.2,17.71,19.22109963,
Ukraine,UKR,3.749764415,4.506124564,6.55,11,17.9,23.3,28.70826284,35.27,40.954129,46.23597546,49.26,
Upper middle income,UMC,11.4498193,13.9452312,18.57475758,23.27344287,28.2460555,33.5695273,37.79817786,42.34439722,45.70910751,48.55047421,52.13786916,
Uruguay,URY,20.08818956,29.4,34,39.3,41.8,46.4,51.40466106,54.45376868,57.69,61.46,64.6,
United States,USA,67.96805292,68.93119327,75,74,71,71.69,69.72946076,74.7,71.4,73,74.55,
Uzbekistan,UZB,3.343509888,6.388321967,7.490604681,9.080114523,11.9,15.9,18.6,23.6,26.8,35.5,42.8,
St. Vincent and the Grenadines,VCT,9.198278082,12,16,21,31,33.7,36.7,40,43.5,47.4,51.77,
"Venezuela, RB",VEN,12.55299791,15.22471148,20.83,25.88,32.7,37.37,40.22,49.05008307,54.9,57,61.86924809,
British Virgin Islands,VGB,,,,,36,37,37.4,37.6,,,,
Virgin Islands (U.S.),VIR,27.34431967,27.33261054,27.33933584,27.36177742,27.39650968,31.22,35.6,40.5479,45.3,50.07,54.8391373,
Vietnam,VNM,12.73992929,17.25456172,20.75544477,23.92,26.55,30.65,35.07,39.49,43.9,48.31,52.72,
Vanuatu,VUT,5.082333808,5.850585059,6.8,7.269119923,7.5,8,9.2,10.598,11.3,18.8,22.35140458,
West Bank and Gaza,PSE,16.005,18.41,21.176,24.358,32.23,37.4,41.08,43.4,46.6,53.67,57.42419241,
World,WLD,15.78908227,17.6040061,20.53349446,23.26467234,25.75526069,29.149614,31.72975311,34.94592495,37.41686105,40.64994998,43.99831479,
Samoa,WSM,3.352592112,4.469173873,4.749983235,5.031615316,6,7,11,12.92249,15.3,21.2,25.40700977,
"Yemen, Rep.",YEM,1.048597934,1.247824049,5.01,6.89,9.96,12.35,14.905,17.4465,20,22.55,25.0995144,
South Africa,ZAF,7.48854253,7.607139675,8.065375174,8.43,10,24,33.97,41,46.5,49,51.91911572,
"Congo, Dem. Rep.",COD,0.238037799,0.29605361,0.37,0.44,0.56,0.72,1.2,1.679961015,2.2,3,3.799999507,
Zambia,ZMB,2.851752261,4.159913394,4.87,5.55,6.31,10,11.5,13.4682,15.4,19,21,
Zimbabwe,ZWE,2.4,2.4,3,3.5,4,6.4,8.4,12,15.5,16.3,16.36,
